Type,Alias,Full Name,Offset,Mask/Size,Description
C,MEM_MONITOR_ADDR, MEM_MONITOR_ADDR,0x20001000,0xFFFFFFFF,Memory Monitor Base Address
C,MEM_MONITOR_SZ, MEM_MONITOR_SZ,0x00000100,0xFFFFFFFF,Memory Monitor Size
R,GPIO0,GPIO0_BASE,0x400E1000,0xFFFFFFFF,GPIO Port 0 Memory Base Address
R,GPIO1,GPIO1_BASE,0x400E1200,0xFFFFFFFF,GPIO Port 1 Memory Base Address
R,GPIO2,GPIO2_BASE,0x400E1400,0xFFFFFFFF,GPIO Port 2 Memory Base Address
R,GPIO0_GPER,GPER,GPIO0 +0x000,0xFFFFFFFF,GPIO Enable Register Read/Write
R,GPIO0_GPERS,GPERS,GPIO0 +0x004,0xFFFFFFFF,GPIO Enable Register Set
R,GPIO0_GPERC,GPERC,GPIO0 +0x008,0xFFFFFFFF,GPIO Enable Register Clear
R,GPIO0_GPERT,GPERT,GPIO0 +0x00C,0xFFFFFFFF,GPIO Enable Register Toggle
R,GPIO0_PMR0,PMR0,GPIO0 +0x010,0xFFFFFFFF,Peripheral Mux Register 0 Read/Write
R,GPIO0_PMR0S,PMR0S,GPIO0 +0x014,0xFFFFFFFF,Peripheral Mux Register 0 Set
R,GPIO0_PMR0C,PMR0C,GPIO0 +0x018,0xFFFFFFFF,Peripheral Mux Register 0 Clear
R,GPIO0_PMR0T,PMR0T,GPIO0 +0x01C,0xFFFFFFFF,Peripheral Mux Register 0 Toggle
R,GPIO0_PMR1,PMR1,GPIO0 +0x020,0xFFFFFFFF,Peripheral Mux Register 1 Read/Write
R,GPIO0_PMR1S,PMR1S,GPIO0 +0x024,0xFFFFFFFF,Peripheral Mux Register 1 Set
R,GPIO0_PMR1C,PMR1C,GPIO0 +0x028,0xFFFFFFFF,Peripheral Mux Register 1 Clear
R,GPIO0_PMR1T,PMR1T,GPIO0 +0x02C,0xFFFFFFFF,Peripheral Mux Register 1 Toggle
R,GPIO0_PMR2,PMR2,GPIO0 +0x030,0xFFFFFFFF,Peripheral Mux Register 2 Read/Write
R,GPIO0_PMR2S,PMR2S,GPIO0 +0x034,0xFFFFFFFF,Peripheral Mux Register 2 Set
R,GPIO0_PMR2C,PMR2C,GPIO0 +0x038,0xFFFFFFFF,Peripheral Mux Register 2 Clear
R,GPIO0_PMR2T,PMR2T,GPIO0 +0x03C,0xFFFFFFFF,Peripheral Mux Register 2 Toggle
R,GPIO0_ODER,ODER,GPIO0 +0x040,0xFFFFFFFF,Output Driver Enable Register Read/Write
R,GPIO0_ODERS,ODERS,GPIO0 +0x044,0xFFFFFFFF,Output Driver Enable Register Set
R,GPIO0_ODERC,ODERC,GPIO0 +0x048,0xFFFFFFFF,Output Driver Enable Register Clear
R,GPIO0_ODERT,ODERT,GPIO0 +0x04C,0xFFFFFFFF,Output Driver Enable Register Toggle
R,GPIO0_OVR,OVR,GPIO0 +0x050,0xFFFFFFFF,Output Value Register Read/Write
R,GPIO0_OVRS,OVRS,GPIO0 +0x054,0xFFFFFFFF,Output Value Register Set
R,GPIO0_OVRC,OVRC,GPIO0 +0x058,0xFFFFFFFF,Output Value Register Clear
R,GPIO0_OVRT,OVRT,GPIO0 +0x05c,0xFFFFFFFF,Output Value Register Toggle
R,GPIO0_PVR,PVR,GPIO0 +0x060,0xFFFFFFFF,Pin Value Register Read
R,GPIO0_PUER,PUER,GPIO0 +0x070,0xFFFFFFFF,Pull-up Enable Register Read/Write
R,GPIO0_PUERS,PUERS,GPIO0 +0x074,0xFFFFFFFF,Pull-up Enable Register Set
R,GPIO0_PUERC,PUERC,GPIO0 +0x078,0xFFFFFFFF,Pull-up Enable Register Clear
R,GPIO0_PUERT,PUERT,GPIO0 +0x07C,0xFFFFFFFF,Pull-up Enable Register Toggle
R,GPIO0_PDER,PDER,GPIO0 +0x080,0xFFFFFFFF,Pull-down Enable Register Read/Write
R,GPIO0_PDERS,PDERS,GPIO0 +0x084,0xFFFFFFFF,Pull-down Enable Register Set
